file_id,source_path,filename,file_type,size_bytes,drive_file_id,mime_type,version,status,last_processed,error_message
001,/Misc/For Writer/_5 Chanukah/Chanukah Events/Music,Play list _ Music for event.docx,document,7818,1wlOdSRVEAZJZbNFvXVV8ayTSPh89d0f3,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1,processed,2025-11-09T11:43:32.864012,
002,/Misc/For Writer/_5 Chanukah/Chanukah Events/Event Advertising-Marketing,Newspaper Article.docx,document,10535,1Jx0S8hl63qnxWolvt4ihdZeb4XsFIXfk,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1,processed,2025-11-09T11:43:32.864032,
003,/Misc/For Writer/_5 Chanukah/Chanukah Events/Event Ideas,events ideas_.docx,document,10299,1GRc9Sh-qa7qfwuzVLoHVKAazNlsz6VKu,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1,processed,2025-11-09T11:43:32.864034,
004,/Misc/For Writer/_5 Chanukah/Chanukah Events/Event Ideas,Home Depot.docx,document,8442,1fS_hdP9jS6jx5v2jEqPwHkS6oaxJQfoN,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1,processed,2025-11-09T11:43:32.864036,
005,/Misc/For Writer/_5 Chanukah/Chanukah Events/Event Ideas,Chanukah Bus Delivers Joy to Senior Citizens.docx,document,7671,1k322UOp6nDOvzQouAjW8SeAten65UlgU,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1,processed,2025-11-09T11:43:32.864037,
006,/Misc/For Writer/_5 Chanukah/Chanukah Events/Event Ideas,"Ladies Pre Chanukah Evening_ Wine, Cheese_.docx",document,7515,1fpRph3-kL7ccw95nY_NmRtcRo9afMo8N,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1,pending,2025-11-09T04:56:54.798963,
007,/Misc/For Writer/_5 Chanukah/Chanukah Events/Event Ideas,Menorah Ideas for Events.docx,document,8250,1j7OSwlHeaEC7MtnxOCiwyMq1Z5sjjRAA,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1,pending,2025-11-09T04:56:54.801965,
008,/Misc/For Writer/_5 Chanukah/Chanukah Events/Event Ideas,Chanukah Wonderland_.docx,document,6784,1VyhV2NSurm8JukPt5LhoRdfXAKHiT6-L,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1,pending,2025-11-09T04:56:54.805964,
009,/Misc/For Writer/_5 Chanukah/Chanukah Events/Event Ideas,Chanukah in the Mall.docx,document,6508,1tWTLnUVtXFV2mt6xHEeSbP4Bm8QoTG4V,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1,pending,2025-11-09T04:56:54.810964,
010,/Misc/For Writer/_5 Chanukah/Chanukah Events/Event Ideas,Virtual Reality.docx,document,7389,1x3r31BvU0vW2u3N0ha5jHNRPYn-AqWuT,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1,pending,2025-11-09T04:56:54.813968,
011,/Misc/For Writer/_5 Chanukah/Chanukah Events/Event Ideas,Jewish Heritage Night.docx,document,10046,1-5Vt3w57py2_gmqWSJM3WTfmuoZ_6iC3,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1,pending,2025-11-09T04:56:54.817964,
012,/Misc/For Writer/_5 Chanukah/Chanukah Events/Event Ideas,Games and Crafts.docx,document,6568,1lTEpUbU1B3cE6ewQoN62APPHNgp64FHb,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1,pending,2025-11-09T04:56:54.820965,
013,/Misc/For Writer/_5 Chanukah/Chanukah Events/Event Ideas,Latke Tasting.docx,document,7825,10ZZv9jTD2ImEuhfjK3_0-YXtebEVxkKK,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1,pending,2025-11-09T04:56:54.823975,
014,/Misc/For Writer/_5 Chanukah/Chanukah Events/Event Ideas,Chanukah Wonderland.docx,document,35851,1Osw9551UOKkGPtPieciy_C35_9Wte-ce,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1,pending,2025-11-09T04:56:54.827974,
015,/Misc/For Writer/_5 Chanukah/Chanukah Events/Recipes,Chanukah Recipes.docx,document,7405,1oxFVxDN1IQQA6LuwZ6yVLoJQ0X40HSgV,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1,pending,2025-11-09T04:56:54.830964,
016,/Misc/For Writer/_5 Chanukah/Chanukah Events/Recipes,Trader Joes Latkes.docx,document,6670,1wBKJZdSqdToSaxyxBRWMKIr7aSEvm4rm,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1,pending,2025-11-09T04:56:54.833964,
017,/Misc/For Writer/_5 Chanukah/Chanukah Events,Insurance for Chanukah event.docx,document,7133,1SzwmiKo4V33RQWHpZzJyE-E9WexDDvbx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1,pending,2025-11-09T04:56:54.835964,
018,/Misc/For Writer/_5 Chanukah/Car Menorah-Parade,Completed Draft: Car Menorah Parade,google_doc,7297,14aMRXdcA-RdIu49bY1SV7SzI_2cKniYm8756dmwzTv8,application/vnd.google-apps.document,1,pending,2025-11-09T04:56:54.838965,
019,/Misc/For Writer/_5 Chanukah/Car Menorah-Parade,Press Release #8.docx,document,8335,1izPzGfFBuMKm8gs0E5_Qzrou6NtXrpkv,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1,pending,2025-11-09T04:56:54.843973,
020,/Misc/For Writer/_5 Chanukah/Car Menorah-Parade,car Menorah Parade.docx,document,16336,1lvwIh1xWpOE9xKClvreGAfjoJYcem7_g,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1,pending,2025-11-09T04:56:54.848965,
021,/Misc/For Writer/_5 Chanukah/Chanukah writer/Old Docs,Draft_ Ideas for Menorah Parade.docx,document,8773,1gk_dQS2d9w3agIlSbtDEX_5AgpNDTkS1,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1,pending,2025-11-09T04:56:54.852963,
